y_test,y_new
12,7.333333333333333
-16,-13.777777777777779
-12,-12.444444444444445
4,5.6
-12,-12.444444444444445
-16,-17.714285714285715
8,14.4
-24,-22.72
-20,-20.0
8,8.0
0,-1.0
24,22.51851851851852
-24,-22.46153846153846
-20,-14.5
12,17.818181818181817
-20,-18.90909090909091
-32,-32.0
8,6.0
-12,-12.444444444444445
16,13.0
-32,-32.0
-12,-8.88888888888889
20,20.0
24,23.61904761904762
20,19.076923076923077
8,6.4
12,14.857142857142858
-24,-22.72
24,21.666666666666668
32,32.0
32,32.0
-8,-6.222222222222222
-16,-20.0
20,18.933333333333334
-12,-19.142857142857142
-8,-9.333333333333334
4,2.5
-16,-24.0
-20,-20.0
0,-1.7777777777777777
24,24.0
-16,-17.473684210526315
20,20.0
-8,-11.428571428571429
0,-1.6
20,18.571428571428573
20,19.0
4,3.111111111111111
-8,-4.0
-4,2.0
-20,-19.142857142857142
20,19.333333333333332
-20,-19.636363636363637
0,-3.2
8,7.555555555555555
16,14.5
-32,-32.0
-24,-24.0
-4,-6.4
32,32.0
16,13.6
8,5.777777777777778
-16,-12.0
-24,-24.0
-12,-12.666666666666666
12,12.8
16,19.5
-12,-14.285714285714286
-16,-22.90909090909091
-24,-22.608695652173914
-4,-2.857142857142857
-4,-4.8
8,6.0
-32,-32.0
0,2.4
16,23.238095238095237
12,3.2
24,23.304347826086957
12,13.6
16,22.5
-20,-17.142857142857142
-8,-14.666666666666666
-4,-6.857142857142857
-24,-21.555555555555557
-16,-15.5
4,8.666666666666666
-8,-8.0
-16,-22.333333333333332
-32,-32.0
0,-1.7777777777777777
8,12.666666666666666
8,12.0
-20,-18.90909090909091
-8,-10.857142857142858
12,17.818181818181817
0,4.0
-24,-21.285714285714285
20,17.333333333333332
16,22.608695652173914
-24,-23.36
-24,-22.72
-32,-32.0
-24,-24.0
4,5.5
24,21.93548387096774
-16,-22.666666666666668
-16,-17.75
32,32.0
8,3.2
-24,-22.608695652173914
0,0.8
8,7.2
-4,0.8
0,-1.3333333333333333
24,22.76923076923077
-20,-18.133333333333333
-4,-4.0
0,0.8
-8,-8.0
24,24.0
20,17.41176470588235
20,20.0
-24,-22.46153846153846
8,8.0
12,4.8
20,20.0
0,1.6
32,32.0
-12,-13.777777777777779
12,15.333333333333334
-8,-9.6
16,11.333333333333334
